story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
,,Ecru Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eden Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Egg Plant,,,,,,,,,,,,,,,,,,,,,,,,,
,,Egg White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electric Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emerald Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emerald Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,English Manor,,,,,,,,,,,,,,,,,,,,,,,,,
,,Everglade,,,,,,,,,,,,,,,,,,,,,,,,,
,,Evergreen,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fenugreek,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fiery Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fig,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flame Scarlet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondant Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forest Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forest Olive,,,,,,,,,,,,,,,,,,,,,,,,,
,,Formal Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foundant Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,French Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Frosty Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuchsia,,,,,,,,,,,,,,,,,,,,,,,,,
